"State","County.Name","B_armed","B_unarmed","H_armed","H_unarmed","W_armed","W_unarmed","src.wapo","SortGADMintoPrevOrder","SortGADMintoGADMintoGADMorder","County.FIPS.Code","FIPS","DMA","WeaponsBlack.sum","WeaponsWhite.sum","AssaultsBlack.sum","AssaultsWhite.sum","county","CountyName","ID","TOT_POP","TOT_MALE","TOT_FEMALE","WA_TOT","BAC_TOT","H_TOT","Pct.Uninsured","Median.Income","Gini","Pct.Living.in.Poverty","Pct.HS.Education","PercentSlaveOwningFarms","NSlavesPerCounty","ID.1","FBIDataToRight","VictimsOfHateCrimes","MURDER","AGASSLT","USPSDToRight","BlackArmed","BlackUnarmed","HispanicArmed","HispanicUnarmed","WhiteArmed","WhiteUnarmed","State.1","RandID","SouthernLawCenterDataToRight","Arson","Assault","Bombing","Cross.Burnings","Harassment","Intelligence","Intimidation","Leafletting","Legal.Developments","Murder","Rally","Threat","Vandalism","BayesianPosterior","ModelID","m.log.RR_Black_Unarmed_Versus_White_Unarmed","sd.log.RR_Black_Unarmed_Versus_White_Unarmed"
"WI","Fond du Lac County",0,0,0,0,1,0,"wapo",3068,3068,55039,55039,69,0,28,21,94,"Fond Du Lac","FondduLac","WIFondduLac",101633,49926,51707,97427,1884,4368,10.2,50327,0.407,11.6,88.5,NA,NA,"WI039","FBIDataToRight",NA,1,105,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.49345482440718,1.11015790251183
"WI","Green County",0,0,1,0,0,0,"wapo",3071,3072,55045,55045,86,0,5,0,22,"Green","Green","WIGreen",36842,18241,18601,36107,273,1033,10.1,51019,0.408,10,90.1,NA,NA,"WI045","FBIDataToRight",NA,0,27,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.73021027227179,1.17164309664992
"WI","Jackson County",0,0,0,0,1,0,"wapo",3075,3075,55053,55053,123,0,2,0,12,"Jackson","Jackson","WIJackson",20449,10874,9575,18403,447,519,13.1,38812,0.419,18.2,86,NA,NA,"WI053","FBIDataToRight",NA,0,28,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.10219018575723,1.11619456206278
"WI","Kenosha County",0,0,0,0,2,0,"wapo",3078,3078,55059,55059,31,40,62,45,106,"Kenosha","Kenosha","WIKenosha",166426,82444,83982,147219,13764,19592,11.7,52028,0.425,13.2,87.7,NA,NA,"WI059","FBIDataToRight",NA,0,111,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.22907730495252,0.966426396841699
"WI","Langlade County",0,0,0,0,1,0,"wapo",3082,3084,55067,55067,134,0,10,1,17,"Langlade","Langlade","WILanglade",19977,10032,9945,19358,146,324,12.3,37762,0.408,13.5,87.3,NA,NA,"WI067","FBIDataToRight",NA,0,27,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.09419356949777,1.11567199315043
"WI","Marathon County",0,0,0,0,1,0,"wapo",3085,3087,55073,55073,134,3,35,18,79,"Marathon","Marathon","WIMarathon",134063,67308,66755,123677,1445,2992,10.2,50192,0.399,11.9,88.4,NA,NA,"WI073","FBIDataToRight",NA,0,135,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.5182843462046,0.979025133539277
"WI","Marinette County",0,0,0,0,1,0,"wapo",3086,3088,55075,55075,69,0,10,0,3,"Marinette","Marinette","WIMarinette",41749,20758,20991,40730,209,522,11,38099,0.43,14.5,87.6,NA,NA,"WI075","FBIDataToRight",NA,0,6,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.18176033350132,1.05510678531629
"WI","Milwaukee County",3,0,1,0,1,0,"wapo",3089,3091,55079,55079,31,923,309,1505,624,"Milwaukee","Milwaukee","WIMilwaukee",947735,457717,490018,624507,273135,126039,14.3,40582,0.451,21.9,84.9,NA,NA,"WI079","FBIDataToRight",1,86,1646,"USPSDToRight",1,0,0,0,0,1,"WI",44,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,1,0,0,1,0,0,"BayesianPosterior",302,2.31603792621358,1.04896026017241
"WI","Walworth County",0,1,0,0,1,0,"wapo",3113,3115,55127,55127,31,5,35,9,127,"Walworth","Walworth","WIWalworth",102228,51237,50991,98681,1523,10578,13.1,52823,0.431,12.8,89.2,NA,NA,"WI127","FBIDataToRight",NA,0,121,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.46589012603196,1.08642305915682
"WI","Winnebago County",0,0,0,0,1,0,"wapo",3119,3121,55139,55139,69,5,40,29,121,"Winnebago","Winnebago","WIWinnebago",166994,83952,83042,156698,4038,5784,10,49166,0.429,12,89.8,NA,NA,"WI139","FBIDataToRight",NA,1,263,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.5941459021755,0.986179356732972
"WV","Braxton County",0,0,0,0,1,0,"wapo",2997,1326,54007,54007,61,0,1,0,19,"Braxton","Braxton","WVBraxton",14523,7316,7207,14271,105,67,18.9,32606,0.432,23.6,73.9,NA,NA,"WV007","FBIDataToRight",NA,0,17,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.992337393206067,1.09943000338784
"WV","Brooke County",0,0,0,0,1,0,"wapo",2998,1327,54009,54009,150,NA,NA,0,3,"Brooke","Brooke","WVBrooke",24069,11672,12397,23395,435,163,16.4,38197,0.426,14.7,87.9,NA,NA,"WV009","FBIDataToRight",NA,0,7,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.07596695647201,1.16889456145769
"WV","Fayette County",0,0,0,0,1,0,"wapo",3003,1332,54019,54019,149,3,12,2,25,"Fayette","Fayette","WVFayette",46039,23085,22954,43132,2464,402,19.2,30856,0.431,22.6,76.6,NA,NA,"WV019","FBIDataToRight",NA,0,47,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.2038698825921,1.13009047519078
"WV","Hancock County",1,0,0,0,0,0,"wapo",3008,1337,54029,54029,150,0,5,0,6,"Hancock","Hancock","WVHancock",30676,14841,15835,29439,953,314,16.1,38501,0.459,13.6,87.5,NA,NA,"WV029","FBIDataToRight",NA,0,8,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.5744928254191,1.13182435602436
"WV","Mercer County",1,0,0,0,0,0,"wapo",3021,3021,54055,54055,149,1,5,16,70,"Mercer","Mercer","WVMercer",62264,29754,32510,57125,4335,480,18.7,32366,0.462,21.6,79.1,NA,NA,"WV055","FBIDataToRight",NA,1,54,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.67985503419629,1.17478278764173
"WV","Mineral County",0,0,0,0,1,0,"wapo",3022,3022,54057,54057,8,0,5,2,32,"Mineral","Mineral","WVMineral",28212,13986,14226,26927,1021,202,16.9,38629,0.442,16.7,86.4,NA,NA,"WV057","FBIDataToRight",NA,2,37,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.14908078907289,1.12588666016596
